,daily_cases_Ireland
2020-11-06,492.0
2020-11-07,317.0
2020-11-08,539.0
2020-11-09,265.0
2020-11-10,230.0
2020-11-11,358.0
2020-11-12,385.0
2020-11-13,467.0
2020-11-14,427.0
2020-11-15,377.0
2020-11-16,453.0
2020-11-17,330.0
2020-11-18,372.0
2020-11-19,415.0
2020-11-20,329.0
2020-11-21,341.0
2020-11-22,318.0
2020-11-23,250.0
2020-11-24,219.0
2020-11-25,257.0
2020-11-26,307.0
2020-11-27,205.0
2020-11-28,243.0
2020-11-29,299.0
2020-11-30,303.0
2020-12-01,254.0
2020-12-02,268.0
2020-12-03,162.0
2020-12-04,263.0
2020-12-05,457.0
2020-12-06,298.0
2020-12-07,222.0
2020-12-08,214.0
2020-12-09,218.0
2020-12-10,303.0
2020-12-11,304.0
2020-12-12,249.0
2020-12-13,429.0
2020-12-14,264.0
2020-12-15,327.0
2020-12-16,421.0
2020-12-17,481.0
2020-12-18,576.0
2020-12-19,522.0
2020-12-20,766.0
2020-12-21,725.0
2020-12-22,961.0
2020-12-23,927.0
2020-12-24,918.0
2020-12-25,1025.0
2020-12-26,1296.0
2020-12-27,735.0
